City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Mogadishu,SO,2.0371,45.3438,76.44,83,38,14.54,scattered clouds
122,Berlevag,NO,70.8578,29.0864,24.44,82,53,24.49,broken clouds
123,Flagstaff,US,35.1981,-111.6513,48.88,18,0,3.0,clear sky
124,Bullhead City,US,35.1478,-114.5683,69.94,13,40,20.71,scattered clouds
125,Shalakusha,RU,62.2247,40.2539,1.42,96,32,6.35,scattered clouds
126,Balakhta,RU,55.38,91.6,4.01,94,99,1.52,overcast clouds
127,Ulaanbaatar,MN,47.9077,106.8832,-7.33,92,58,2.19,broken clouds
128,Jiuquan,CN,39.7432,98.5174,14.27,75,100,2.86,overcast clouds
129,Egvekinot,RU,66.3167,-179.1667,-8.07,87,9,10.89,clear sky
130,Sibolga,ID,1.7427,98.7792,74.97,90,100,2.33,overcast clouds
131,Ponta Do Sol,PT,32.6667,-17.1,67.01,53,10,12.08,clear sky
132,Rio Grande,BR,-32.035,-52.0986,73.94,79,37,2.55,scattered clouds
133,Cape Town,ZA,-33.9258,18.4232,69.12,68,0,1.01,clear sky
134,Sampang,ID,-7.1872,113.2394,76.95,85,68,10.02,broken clouds
135,Zyryanka,RU,65.75,150.85,-36.2,98,52,2.89,broken clouds
136,Paamiut,GL,61.994,-49.6678,-4.52,86,60,10.65,broken clouds
137,Novikovo,RU,51.1537,37.8879,18.73,96,100,8.48,snow
138,Upernavik,GL,72.7868,-56.1549,-1.7,97,100,3.0,overcast clouds
139,Waingapu,ID,-9.6567,120.2641,81.75,77,93,6.22,overcast clouds
140,Los Llanos De Aridane,ES,28.6585,-17.9182,67.12,30,0,5.99,clear sky
141,Laguna,US,38.421,-121.4238,66.96,44,0,1.01,clear sky
142,Hithadhoo,MV,-0.6,73.0833,81.59,72,36,6.73,scattered clouds
143,Batticaloa,LK,7.7102,81.6924,76.03,75,77,5.14,broken clouds
144,Carballo,ES,43.213,-8.691,47.01,91,5,3.06,clear sky
145,Umm Lajj,SA,25.0213,37.2685,62.17,57,0,13.0,clear sky
146,San Fernando,PH,15.0286,120.6898,80.15,69,97,9.51,overcast clouds
147,Ziro,IN,27.6333,93.8333,27.46,97,64,2.64,broken clouds
148,Kununurra,AU,-15.7667,128.7333,80.58,89,40,3.44,scattered clouds
149,Muisne,EC,0.6,-80.0333,76.17,85,84,4.38,broken clouds
150,Villa Bruzual,VE,9.3328,-69.1208,80.46,52,51,3.06,broken clouds
151,Goderich,CA,43.7501,-81.7165,15.91,87,95,11.36,overcast clouds
152,East London,ZA,-33.0153,27.9116,69.8,87,100,17.31,light rain
153,Tuktoyaktuk,CA,69.4541,-133.0374,-28.19,100,94,8.66,overcast clouds
154,Pisco,PE,-13.7,-76.2167,69.85,83,0,8.05,clear sky
155,Kananga,CD,-5.8958,22.4178,67.06,96,73,1.1,moderate rain
156,The Valley,AI,18.217,-63.0578,76.1,73,99,19.86,overcast clouds
157,Mareeba,AU,-17.0,145.4333,82.67,78,44,4.07,scattered clouds
158,Pirapora,BR,-17.345,-44.9419,70.65,99,97,1.72,light rain
159,San Carlos De Bariloche,AR,-41.1456,-71.3082,67.75,45,40,11.5,scattered clouds
160,Steinbach,DE,50.1667,8.5667,42.64,75,0,16.11,clear sky
161,Xicotencatl,MX,23.0167,-98.8833,60.71,33,16,4.79,few clouds
162,Namatanai,PG,-3.6667,152.4333,85.46,65,96,11.23,overcast clouds
163,Iqaluit,CA,63.7506,-68.5145,-35.14,98,97,2.8,overcast clouds
164,Orange,US,33.7,-117.7675,76.75,22,20,3.0,few clouds
165,Grindavik,IS,63.8424,-22.4338,27.07,74,75,5.75,broken clouds
166,Provideniya,RU,64.3833,-173.3,-1.68,82,2,11.27,clear sky
167,Kungurtug,RU,50.5994,97.5228,-15.56,95,74,1.88,broken clouds
168,Qaanaaq,GL,77.484,-69.3632,0.63,97,100,4.38,overcast clouds
169,Yauya,PE,-8.9833,-77.3,51.6,82,99,2.42,light rain
170,Clyde River,CA,70.4692,-68.5914,-28.97,75,100,2.3,light snow
171,Puerto Ayora,EC,-0.7393,-90.3518,76.55,90,64,3.0,broken clouds
172,La Ronge,CA,55.1001,-105.2842,-1.39,98,100,1.39,overcast clouds
173,Santa Cruz,BO,-17.8,-63.1667,69.67,97,100,5.14,light rain
174,Coquimbo,CL,-29.9533,-71.3436,66.13,82,2,5.53,clear sky
175,Shingu,JP,33.7333,135.9833,38.91,56,37,12.64,scattered clouds
176,Nanortalik,GL,60.1432,-45.2371,8.71,62,76,13.6,broken clouds
177,Aswan,EG,24.0934,32.907,51.24,51,0,11.63,clear sky
178,Salalah,OM,17.0151,54.0924,71.69,73,40,3.44,scattered clouds
179,Butaritari,KI,3.0707,172.7902,82.67,74,51,18.7,broken clouds
180,Santa Ines,BR,-3.6667,-45.38,74.23,97,92,3.49,overcast clouds
181,Longyearbyen,SJ,78.2186,15.6401,10.24,61,20,20.71,few clouds
182,Port-Cartier,CA,50.0334,-66.8654,1.74,83,27,8.99,scattered clouds
183,Saint-Joseph,RE,-21.3667,55.6167,77.38,79,100,15.7,overcast clouds
