City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
230,Isiro,CD,66.36,overcast clouds,2.7739,27.616,Guest House Hewa Bora
234,Hasaki,JP,34.2,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
236,Turan,VN,67.98,broken clouds,16.0678,108.2208,Sun River Hotel
237,Hinton,CA,37.51,broken clouds,53.4001,-117.5857,Econo Lodge & Suites
238,Comodoro Rivadavia,AR,66.06,clear sky,-45.8667,-67.5,Austral Hotel
241,Nantucket,US,26.71,clear sky,41.2835,-70.0995,Jared Coffin House
243,Vardo,NO,26.98,overcast clouds,70.3705,31.1107,Vardø Hotel AS
248,Kalush,UA,30.88,broken clouds,49.0119,24.3731,Kasablanka
250,Nemuro,JP,23.43,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
251,Matay,EG,50.13,clear sky,28.419,30.7792,Nag Aespen
253,Del Rio,US,55.51,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
266,Peniche,PT,53.74,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
272,Mende,FR,22.95,clear sky,44.6667,3.5,Le Plateau du Roy
274,Haines Junction,CA,28.99,overcast clouds,60.7522,-137.5108,Parkside Inn
275,Saint Anthony,US,26.15,overcast clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
277,Oskarshamn,SE,38.98,overcast clouds,57.2645,16.4484,Best Western Hotel Corallen
278,Bud,US,20.82,few clouds,39.447,-86.1758,Ted McQuinn Trust
280,Batavia,US,16.92,clear sky,41.85,-88.3126,Comfort Inn & Suites Geneva - West Chicago
284,Camabatela,AO,61.29,overcast clouds,-8.1881,15.375,Pensão E Restaurantes
290,Chicama,PE,64.94,few clouds,-7.8447,-79.1469,Balihai Bungalows
291,Palmer,US,19.54,clear sky,42.1584,-72.3287,Wedgewood Motel
296,Bayir,TR,30.72,scattered clouds,37.2687,28.2167,Hotel Babadag
299,Port Hardy,CA,44.91,overcast clouds,50.6996,-127.4199,Airport Inn-Port Hardy
301,Hokitika,NZ,66.83,light rain,-42.7167,170.9667,Beachfront Hotel Hokitika
303,Sayyan,YE,56.26,overcast clouds,15.1718,44.3244,ملاطف ابوحورية
304,San Patricio,US,51.55,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
305,Pitsunda,GE,35.78,moderate rain,43.1592,40.3378,Hotel FREEDOM
307,Eureka,US,65.19,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
308,Rio Bueno,CL,65.1,few clouds,-40.3167,-72.9667,Hostal Caulle
309,Sawakin,SD,67.51,broken clouds,19.1059,37.3321,فندق الدويم
311,Sompeta,IN,65.8,broken clouds,18.9333,84.6,Netaji's Home
312,Ancud,CL,58.84,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
314,Olafsvik,IS,31.37,snow,64.8945,-23.7142,Hotel Olafsvik
315,Mattawa,US,54.12,few clouds,46.7379,-119.9028,Sun & Sand Mobile Home Park
317,Khani,GE,24.37,light snow,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
318,Fez,MA,48.45,clear sky,34.0372,-4.9998,Hotel Mounia Fès
322,Tamasopo,MX,44.98,scattered clouds,21.9333,-99.4833,La Pozita Azul
325,Gravdal,NO,38.43,overcast clouds,68.1214,13.5031,Skreda Rorbusuiter
329,Lisakovsk,KZ,16.63,overcast clouds,52.5369,62.4936,Gostinitsa Lisakovsk
331,Oume,JP,38.01,clear sky,35.7839,139.2431,Kampo Inn Ome
332,Itoman,JP,59.4,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
335,Cahabon,GT,63.32,overcast clouds,15.5667,-89.8167,Hotel San Angelo Santa María Cahabón A.V.
336,Mbuji-Mayi,CD,68.65,light rain,-6.15,23.6,GKT Hotel
337,Clonakilty,IE,49.21,light rain,51.6231,-8.8706,Inchydoney Island Lodge & Spa
340,Nurota,UZ,41.09,overcast clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
341,Tura,IN,47.62,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
343,Rio Cuarto,AR,62.37,scattered clouds,-33.1307,-64.3499,Grand Hotel Río Cuarto
345,Kruisfontein,ZA,66.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
347,Buraydah,SA,51.26,clear sky,26.326,43.975,فندق راحة السلام
356,Raudeberg,NO,36.86,light snow,61.9875,5.1352,Nordre Silda.
357,Shimoda,JP,40.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
363,Sesheke,ZM,64.99,scattered clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
365,Tapejara,BR,65.57,overcast clouds,-28.0681,-52.0139,Hotel Fontana
367,Hami,CN,26.31,overcast clouds,42.8,93.45,Laoyutang Resort
368,Bhatgaon,IN,59.18,haze,21.15,81.7,SINGH DHABA N RESTAURANT
372,Sitia,GR,55.11,scattered clouds,35.2,26.0986,Sitia Bay
373,Alpena,US,20.1,overcast clouds,45.0617,-83.4327,Days Inn by Wyndham Alpena
374,Te Anau,NZ,62.33,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
375,Waipawa,NZ,54.45,moderate rain,-41.4122,175.5153,Tora Coastal Walk
377,Bratsk,RU,19.89,overcast clouds,56.1325,101.6142,"Gostinitsa ""Shvedka"""
378,Rognan,NO,37.54,overcast clouds,67.0953,15.3878,Rognan Hotell
380,Esna,EG,51.17,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
383,Tabuk,PH,69.13,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
384,Chenzhou,CN,42.71,overcast clouds,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
386,Phillipsburg,US,24.1,clear sky,40.6937,-75.1902,Grand Eastonian Hotel & Suites
387,Linqing,CN,29.66,broken clouds,36.8456,115.7117,Dongfang Hotel
393,Chipinge,ZW,62.2,light rain,-20.1883,32.6236,Chipinge Breeze Lodge
397,Praia Da Vitoria,PT,57.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
399,Shenjiamen,CN,40.75,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
401,Tazmalt,DZ,49.42,overcast clouds,36.3868,4.3989,Hôtel Numédia
402,Taltal,CL,68.43,few clouds,-25.4,-70.4833,Residencial Karime
405,Prince Rupert,CA,40.03,light rain,54.3161,-130.3201,Crest Hotel
408,Shache,CN,27.72,overcast clouds,38.4167,77.2406,Delong Hotel
410,Hualahuises,MX,50.77,clear sky,24.8847,-99.6733,Cabaña hualahuises
411,Saint-Denis,FR,46.56,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
415,Rosendal,NO,39.52,light rain,59.9867,6.0135,Rosendal Turisthotell AS
416,Pitkyaranta,RU,21.31,light snow,61.5734,31.4792,Pitkyaranta hotel
418,Nivala,FI,23.68,broken clouds,63.9167,24.9667,Hotelli Huiskankorpi / Aseman majatalo
419,Severo-Kurilsk,RU,29.62,overcast clouds,50.6789,156.125,Kak Doma
422,Sakakah,SA,46.47,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
423,Kalagarh,IN,46.98,clear sky,29.5,78.75,Akki house
424,Bandipur,NP,40.3,clear sky,27.9333,84.4167,Bandipur Guest House
426,Smithers,CA,36.07,overcast clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
427,Caluquembe,AO,60.82,overcast clouds,-13.7833,14.6833,Hotel Kalukembe
431,Zhanaozen,KZ,30.79,overcast clouds,43.3,52.8,K.korabay 28A
433,Sarkand,KZ,18.97,clear sky,45.41,79.9186,Гостиница Сарканд
435,Sorland,NO,38.61,light rain,67.667,12.6934,Sjybrygga fiskecamp
443,Abu Zabad,SD,59.14,broken clouds,12.35,29.25,حامد محمد نور
444,Fort Nelson,CA,23.04,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
447,Sabinov,SK,31.77,broken clouds,49.1031,21.0988,"Adria Sun - dovolenka, cestovná agentúra"
452,Bako,ET,68.09,overcast clouds,5.7833,36.5667,Goh Hotel
454,Asau,RO,30.4,broken clouds,46.4333,26.4,Casa Mika Ciobanus
455,Linqiong,CN,40.17,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
456,Marsaxlokk,MT,57.07,few clouds,35.8419,14.5431,Water's Edge
459,Bonavista,CA,43.12,moderate rain,48.6499,-53.1147,Abbott's Bed & Breakfast
461,Ulcinj,ME,47.93,overcast clouds,41.9294,19.2244,Hotel Mediteran
462,Guiyang,CN,42.96,light rain,26.5833,106.7167,Guo Tai Hotel Guiyang
464,Aksu,CN,22.5,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
465,Kinna,SE,41.45,light rain,57.5073,12.6946,Hanatorps Camping
467,Ravar,IR,44.64,clear sky,31.2656,56.8055,computertik
472,Young,UY,69.22,broken clouds,-32.6833,-57.6333,Posada Gira el Sol
476,Fallon,US,52.43,few clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
478,Korla,CN,22.86,overcast clouds,41.7597,86.1469,Gulisitan Hotel
481,Fukue,JP,37.76,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
482,Hamilton,US,21.04,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
484,Belen,TR,30.34,few clouds,36.4891,36.2233,Varlıbaş Uyku Sarayı
486,Nouadhibou,MR,65.46,clear sky,20.931,-17.0347,El Medina
488,Lasa,IT,33.3,clear sky,46.6166,10.7002,Pension Feldgärtenhof
492,Diffa,NE,62.69,clear sky,13.3154,12.6113,ProDAF/Diffa
499,Manono,CD,67.33,overcast clouds,-7.3,27.4167,Hotel hewa bora
501,Puerto Madryn,AR,60.8,clear sky,-42.7692,-65.0385,Hotel Tolosa
502,Platteville,US,22.24,scattered clouds,42.7342,-90.4785,"Country Inn & Suites by Radisson, Platteville, WI"
505,Konskie,PL,35.02,scattered clouds,51.1917,20.4061,Agroturystyka Barycz - Domek Marcel
507,Bloemfontein,ZA,62.58,broken clouds,-29.1211,26.214,aha Bloemfontein Hotel
508,Mehran,IR,50.81,few clouds,33.1222,46.1646,بوتیک زنانه بهار
511,Lydenburg,ZA,63.39,overcast clouds,-25.0978,30.4597,The Palms Boutique Hotel
514,Jalu,LY,54.97,clear sky,29.0331,21.5482,صاحبة الفخامة
516,Awbari,LY,52.65,clear sky,26.5921,12.7805,فندق أوباري
518,Mossendjo,CG,69.64,broken clouds,-2.9506,12.7261,HOTEL D'ASSISE
520,Standish,US,22.01,overcast clouds,43.9831,-83.9589,Standish Motel
521,General Pico,AR,61.68,few clouds,-35.6566,-63.7568,Euskadi Hotel
523,Kushima,JP,36.12,clear sky,31.4583,131.2333,Hanaoka
527,Solaro,IT,48.45,clear sky,44.8799,9.1732,Il Covone di Grano
529,Pingliang,CN,17.6,light snow,35.5392,106.6861,North Gate Hostel
530,Churachandpur,IN,41.23,scattered clouds,24.3333,93.6667,M.Pumkhanjam' INN
532,Brae,GB,37.31,overcast clouds,60.3964,-1.353,Busta House Hotel
533,Husavik,IS,29.61,snow,66.0449,-17.3389,Bjarnabúð
536,Mizdah,LY,54.7,overcast clouds,31.4451,12.9801,محمدالمبروك الاريقط
538,Tecpan,GT,55.45,broken clouds,14.7623,-90.9947,Villa San Ricardo
539,Valera,VE,69.82,scattered clouds,9.3178,-70.6036,Hotel Camino Real
540,College Station,US,47.95,clear sky,30.628,-96.3344,Homewood Suites by Hilton College Station
543,Constitucion,CL,61.29,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
549,Aberdeen,GB,36.5,broken clouds,57.1437,-2.0981,Premier Inn Aberdeen City Centre hotel
551,Kachug,RU,16.21,overcast clouds,53.9606,105.8817,"The hotel ""Empire"""
559,Harer,ET,58.23,clear sky,9.3094,42.1258,Amir Cultural Harari Guesthouse
560,San Jeronimo,PE,53.69,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
563,Dax,FR,39.34,clear sky,43.75,-1.1667,Marrocq
564,Clarksville,US,34.18,clear sky,36.5298,-87.3595,Riverview Inn
565,Tianpeng,CN,39.07,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
567,Boksitogorsk,RU,18.61,snow,59.474,33.8485,Теплый Стан
569,Andenes,NO,35.58,light rain,69.3143,16.1194,Hotell Marena
571,Menongue,AO,60.87,moderate rain,-14.6585,17.691,Ritz Lauca
572,Praia,CV,69.73,clear sky,14.9215,-23.5087,LT Aparthotel
574,Guangyuan,CN,36.63,overcast clouds,32.442,105.823,Guangyuan Poetry Hotel
575,Pasco,US,60.8,overcast clouds,28.292,-82.4165,Connection Community/Park
577,Half Moon Bay,US,67.39,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
578,Abha,SA,48.45,clear sky,18.2164,42.5053,Abha Hotel
